S_No,Latitude,Longitude
663,6.934368,79.98373
664,6.923586,79.977922
665,6.929866,79.982659
666,6.930275,79.982445
667,6.931918,79.98263
668,6.932475,79.982417
669,6.903919,79.954268
670,6.903708,79.956518
671,6.9268,79.980165
672,6.92732,79.980519
673,6.910031,79.971353
674,6.90927,79.970676
675,6.920054,79.974254
676,6.908912,79.966606
677,6.90841,79.966042
678,6.908964,79.969874
679,6.908667,79.969453
680,6.92139,79.975116
681,6.916148,79.972411
682,6.906785,79.964958
683,6.906244,79.964558
684,6.913206,79.972081
685,6.91251,79.972218
686,6.917183,79.973593
687,6.917629,79.973852
688,5.97321,80.429387
689,8.761788,80.258156
690,7.107818,79.883999
691,7.323212,80.396553
692,7.335097,80.299729
693,7.284085,80.322541
694,7.284882,80.32195
695,7.282016,80.324861
696,7.265509,80.327161
697,7.25738,80.329428
698,6.915592,79.972381
699,6.921178,79.97496
700,6.92118,79.974961
701,6.919225,79.97423
702,6.901285,79.956809
703,6.901527,79.956461
704,6.010925,80.310924
705,7.87745,80.650837
706,6.037923,80.29567
707,6.037236,80.30378
708,7.119842,80.116633
709,7.096191,80.144978
710,7.070472,80.093231
711,7.07703,80.121163
712,7.076107,80.045063
713,7.084303,80.078836
714,7.028712,80.080698
715,6.111325,80.124291
716,6.118627,80.1168
717,9.813946,80.231422
718,9.805917,80.223097
719,9.816067,80.23344
720,9.805635,80.20984
721,9.660428,80.028863
722,9.660432,80.029857
723,7.097609,80.145078
724,9.662043,80.080884
725,9.659996,80.0575
726,9.783538,80.078278
727,9.762622,80.066222
728,9.71093,80.074206
729,9.674462,80.035242
730,9.70429,80.069315
731,9.662738,80.062359
732,9.745154,80.106504
733,9.745239,80.055748
734,9.691719,80.05287
735,9.731602,80.095562
736,9.719798,80.083573
737,9.724521,80.089317
738,9.716366,80.080948
739,9.671268,80.012248
740,9.652306,80.041496
741,9.682678,80.024732
742,9.689624,80.027937
743,9.65775,80.024979
744,9.685442,80.025679
745,9.676245,80.021195
746,9.790755,80.144929
747,9.798856,80.191294
748,9.790956,80.158031
749,9.77739,80.12964
750,9.666441,80.131667
751,9.661003,80.038602
752,9.677735,80.196471
753,9.670975,80.096819
754,9.762985,80.117747
755,9.680435,80.038284
756,9.563958,80.399522
757,9.408442,80.408073
758,9.344442,80.409092
759,6.119042,80.11647
760,6.118803,80.116684
761,9.667844,80.018359
762,9.798116,80.178475
763,9.797999,80.186504
764,9.670896,80.021667
